Gene,logFC,P.Value,adj.P.Val,AveExpr_cluster,AveExpr_rest,percentExpr_cluster,percentExpr_rest
ZNF236,0.509987146522404,0.456141596802727,0.630290501973803,11.125921,10.615934,1,1
FANCD2,0.411865222978728,0.456251092261066,0.630387644354178,8.603468,8.191603,1,1
CLEC12A,0.49337793620032,0.456340142723758,0.63045652427151,10.181092,9.687714,1,1
PIP4K2B,-0.500545198869226,0.456405285219394,0.630492365152344,12.405328,12.905873,1,1
FUT10,-0.406303063873604,0.456664076911131,0.63079568988652,9.114771,9.521074,1,1
FECH,-0.635394788880712,0.45682895075401,0.630917417945334,15.618443,16.253838,1,1
DNASE1,-0.375250926566503,0.456830654650047,0.630917417945334,8.413549,8.7888,1,1
STAT4,0.533303219303594,0.457025137174884,0.631131819895324,10.102854,9.569551,1,1
SIL1,-0.741432995249184,0.457300476394897,0.631457835021937,22.615796,23.357229,1,1
PPP1R3B,-0.641807500590151,0.457428543887049,0.631580453247428,16.177887,16.819694,1,1
MRO,0.456590021865019,0.457496998969611,0.631620749478732,10.041766,9.585176,1,1
PIP5K1A,-0.567206793834297,0.457585398070492,0.631688571158337,13.364319,13.931526,1,1
PIGL,0.498320893184276,0.457720227577722,0.631794281002579,11.382994,10.884673,1,1
B3GNT8,0.483002048378209,0.45777344863398,0.631794281002579,10.832592,10.34959,1,1
